source,target,relationship_type,weight,operational_dependency_level,recurring_revenue_relevance,monetization_potential,contract_value,renewal_date,prime_pathwy_priority
VENDOR-Coverall_Holding_Company,AGENCY-NASA_—_Procurement_Divisi,vendor_to_agency,0.763,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-11-27,MEDIUM — 60-Day Pipeline
VENDOR-Robert_Half_International,AGENCY-US_Army_Corps_of_Engineer,vendor_to_agency,0.92,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-09-16,HIGH — Prepare in 30 Days
VENDOR-Cintas_Corporation,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.85,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-01-29,MEDIUM — 60-Day Pipeline
VENDOR-Parsons_Corporation,AGENCY-City_of_Vallejo_—_Purchas,vendor_to_agency,0.644,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2028-04-27,HIGH — Prepare in 30 Days
VENDOR-Securitas_Security_Servic,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.875,High,High,Direct — Contract Displacement,"$300,000–$500,000",2028-04-21,WATCH — 90+ Days
VENDOR-CACI_International,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.677,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-10-13,MEDIUM — 60-Day Pipeline
VENDOR-Regional_Service_Provider,AGENCY-Alameda_County_—_GSA_Purc,vendor_to_agency,0.854,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-11-29,MEDIUM — 60-Day Pipeline
VENDOR-Recall_Holdings,AGENCY-California_Department_of_,vendor_to_agency,0.705,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-02-21,MEDIUM — 60-Day Pipeline
VENDOR-ABM_Industries_Inc.,AGENCY-General_Services_Administ,vendor_to_agency,0.685,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-09-16,MEDIUM — 60-Day Pipeline
VENDOR-Unknown/No_Incumbent,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.926,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-02-02,HIGH — Prepare in 30 Days
VENDOR-ServiceMaster_Clean,AGENCY-City_of_Calgary_—_Purchas,vendor_to_agency,0.774,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-11-01,MEDIUM — 60-Day Pipeline
VENDOR-Allied_Universal_Security,AGENCY-Alameda_County_—_GSA_Purc,vendor_to_agency,0.817,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-08-23,HIGH — Prepare in 30 Days
VENDOR-ServiceMaster_Clean,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.915,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-05-17,HIGH — Prepare in 30 Days
VENDOR-Securitas_Security_Servic,AGENCY-Province_of_British_Colum,vendor_to_agency,0.93,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-03-16,MEDIUM — 60-Day Pipeline
VENDOR-CACI_International,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.698,High,High,Direct — Contract Displacement,"$300,000–$500,000",2028-01-20,CRITICAL — Bid Now
VENDOR-Manpower_Group,AGENCY-NASA_—_Procurement_Divisi,vendor_to_agency,0.709,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-04-14,CRITICAL — Bid Now
VENDOR-Fluor_Corporation,AGENCY-University_of_California_,vendor_to_agency,0.901,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-05-06,HIGH — Prepare in 30 Days
VENDOR-Parsons_Corporation,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.943,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-10-19,HIGH — Prepare in 30 Days
VENDOR-Stericycle_Inc.,AGENCY-US_Army_Corps_of_Engineer,vendor_to_agency,0.816,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-01-28,HIGH — Prepare in 30 Days
VENDOR-CACI_International,AGENCY-US_Postal_Service_USPS_,vendor_to_agency,0.873,High,High,Direct — Contract Displacement,"$25,000,000+",2027-08-05,CRITICAL — Bid Now
VENDOR-Regional_Service_Provider,AGENCY-Department_of_Transportat,vendor_to_agency,0.825,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-03-27,HIGH — Prepare in 30 Days
VENDOR-Jacobs_Engineering_Group,AGENCY-Los_Angeles_Unified_Schoo,vendor_to_agency,0.646,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-03-13,MEDIUM — 60-Day Pipeline
VENDOR-Fluor_Corporation,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.947,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-08-08,CRITICAL — Bid Now
VENDOR-Coverall_Holding_Company,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.774,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-08-02,MEDIUM — 60-Day Pipeline
VENDOR-Securitas_Security_Servic,AGENCY-University_of_California_,vendor_to_agency,0.696,High,High,Direct — Contract Displacement,"$150,000–$300,000",2028-05-28,HIGH — Prepare in 30 Days
VENDOR-Allied_Universal_Security,AGENCY-Denver_Public_Schools_—_P,vendor_to_agency,0.643,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-01-09,WATCH — 90+ Days
VENDOR-Leidos_Holdings_Inc.,AGENCY-Port_of_Los_Angeles,vendor_to_agency,0.895,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-08-24,MEDIUM — 60-Day Pipeline
VENDOR-Cintas_Corporation,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.73,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-04-07,WATCH — 90+ Days
VENDOR-Republic_Services_Inc.,AGENCY-City_of_Vancouver_—_Procu,vendor_to_agency,0.898,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-10-06,WATCH — 90+ Days
VENDOR-G4S_Secure_Solutions,AGENCY-Crown_Commercial_Service_,vendor_to_agency,0.909,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-11-11,WATCH — 90+ Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.723,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-07-26,HIGH — Prepare in 30 Days
VENDOR-CACI_International,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.69,High,High,Direct — Contract Displacement,"$25,000,000+",2027-04-22,WATCH — 90+ Days
VENDOR-ServiceMaster_Clean,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.605,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-09-05,MEDIUM — 60-Day Pipeline
VENDOR-Allied_Universal_Security,AGENCY-Department_of_Transportat,vendor_to_agency,0.869,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-01-15,MEDIUM — 60-Day Pipeline
VENDOR-CACI_International,AGENCY-University_of_California_,vendor_to_agency,0.754,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-03-10,CRITICAL — Bid Now
VENDOR-Sodexo_USA,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.863,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-09-05,HIGH — Prepare in 30 Days
VENDOR-Pitney_Bowes_Inc.,AGENCY-City_of_Vancouver_—_Procu,vendor_to_agency,0.647,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-04-28,WATCH — 90+ Days
VENDOR-Unknown/No_Incumbent,AGENCY-Department_of_Veterans_Af,vendor_to_agency,0.746,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-07-19,WATCH — 90+ Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-California_Department_of_,vendor_to_agency,0.869,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-03-01,MEDIUM — 60-Day Pipeline
VENDOR-Leidos_Holdings_Inc.,AGENCY-City_of_Sydney_—_Procurem,vendor_to_agency,0.639,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-02-17,HIGH — Prepare in 30 Days
VENDOR-Sodexo_USA,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.917,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-09-21,CRITICAL — Bid Now
VENDOR-Clean_Harbors_Inc.,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.658,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-03-20,MEDIUM — 60-Day Pipeline
VENDOR-CACI_International,AGENCY-City_of_Calgary_—_Purchas,vendor_to_agency,0.68,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-05-09,HIGH — Prepare in 30 Days
VENDOR-ABM_Industries_Inc.,AGENCY-City_of_Calgary_—_Purchas,vendor_to_agency,0.855,High,High,Direct — Contract Displacement,"$25,000,000+",2027-09-26,HIGH — Prepare in 30 Days
VENDOR-Xerox_Corporation,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.713,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-11-16,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.633,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2026-09-06,WATCH — 90+ Days
VENDOR-G4S_Secure_Solutions,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.82,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-07-18,HIGH — Prepare in 30 Days
VENDOR-Fluor_Corporation,AGENCY-Department_of_Transportat,vendor_to_agency,0.642,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-11-03,WATCH — 90+ Days
VENDOR-Securitas_Security_Servic,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.826,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-06-25,MEDIUM — 60-Day Pipeline
VENDOR-Cintas_Corporation,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.762,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-05-10,WATCH — 90+ Days
VENDOR-Parsons_Corporation,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.812,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-10-01,HIGH — Prepare in 30 Days
VENDOR-Waste_Management_Inc.,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.814,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-05-30,WATCH — 90+ Days
VENDOR-Regional_Service_Provider,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.944,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-04-10,CRITICAL — Bid Now
VENDOR-Sodexo_USA,AGENCY-Ministry_of_Defence_MOD,vendor_to_agency,0.768,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-05-02,CRITICAL — Bid Now
VENDOR-Manpower_Group,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.703,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-01-06,HIGH — Prepare in 30 Days
VENDOR-ABM_Industries_Inc.,AGENCY-University_of_California_,vendor_to_agency,0.907,High,High,Direct — Contract Displacement,"$300,000–$500,000",2028-01-04,WATCH — 90+ Days
VENDOR-ABM_Industries_Inc.,AGENCY-Social_Security_Administr,vendor_to_agency,0.731,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-11-16,CRITICAL — Bid Now
VENDOR-Jacobs_Engineering_Group,AGENCY-AusTender_—_Australian_Go,vendor_to_agency,0.849,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-06-16,CRITICAL — Bid Now
VENDOR-Leidos_Holdings_Inc.,AGENCY-Ministry_of_Defence_MOD,vendor_to_agency,0.94,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-04-02,CRITICAL — Bid Now
VENDOR-Parsons_Corporation,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.892,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-11-18,CRITICAL — Bid Now
VENDOR-Booz_Allen_Hamilton,AGENCY-City_of_Vancouver_—_Procu,vendor_to_agency,0.706,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-10-21,WATCH — 90+ Days
VENDOR-ServiceMaster_Clean,AGENCY-Transport_for_NSW,vendor_to_agency,0.817,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-10-27,HIGH — Prepare in 30 Days
VENDOR-AECOM_Technology_Corp.,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.601,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-01-04,MEDIUM — 60-Day Pipeline
VENDOR-Robert_Half_International,AGENCY-Transport_for_NSW,vendor_to_agency,0.889,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-05-01,MEDIUM — 60-Day Pipeline
VENDOR-CACI_International,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.665,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-02-01,WATCH — 90+ Days
VENDOR-Recall_Holdings,AGENCY-California_Department_of_,vendor_to_agency,0.724,High,High,Direct — Contract Displacement,"$300,000–$500,000",2028-02-21,WATCH — 90+ Days
VENDOR-ManTech_International,AGENCY-Department_of_Homeland_Se,vendor_to_agency,0.855,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-12-21,HIGH — Prepare in 30 Days
VENDOR-Fluor_Corporation,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.745,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-10-14,CRITICAL — Bid Now
VENDOR-Pitney_Bowes_Inc.,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.772,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-01-14,MEDIUM — 60-Day Pipeline
VENDOR-ManTech_International,AGENCY-California_Department_of_,vendor_to_agency,0.66,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-07-13,CRITICAL — Bid Now
VENDOR-Jani-King_International,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.697,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-05-08,CRITICAL — Bid Now
VENDOR-Xerox_Corporation,AGENCY-Port_of_Oakland,vendor_to_agency,0.893,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-11-07,HIGH — Prepare in 30 Days
VENDOR-Stericycle_Inc.,AGENCY-Ministry_of_Defence_MOD,vendor_to_agency,0.725,High,High,Direct — Contract Displacement,"$25,000,000+",2026-12-25,MEDIUM — 60-Day Pipeline
VENDOR-AECOM_Technology_Corp.,AGENCY-General_Services_Administ,vendor_to_agency,0.845,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-08-22,WATCH — 90+ Days
VENDOR-Waste_Management_Inc.,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.706,High,High,Direct — Contract Displacement,"$25,000,000+",2028-02-19,HIGH — Prepare in 30 Days
VENDOR-AECOM_Technology_Corp.,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.799,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-11-12,MEDIUM — 60-Day Pipeline
VENDOR-Recall_Holdings,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.649,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-11-13,HIGH — Prepare in 30 Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.728,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-05-09,HIGH — Prepare in 30 Days
VENDOR-Securitas_Security_Servic,AGENCY-Department_of_Energy_DOE,vendor_to_agency,0.68,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-01-01,HIGH — Prepare in 30 Days
VENDOR-ServiceMaster_Clean,AGENCY-Los_Angeles_Unified_Schoo,vendor_to_agency,0.774,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-07-21,CRITICAL — Bid Now
VENDOR-Booz_Allen_Hamilton,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.691,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-03-10,CRITICAL — Bid Now
VENDOR-Local_Independent_Vendor,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.639,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-09-11,MEDIUM — 60-Day Pipeline
VENDOR-Iron_Mountain_Inc.,AGENCY-Crown_Commercial_Service_,vendor_to_agency,0.74,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-12-03,HIGH — Prepare in 30 Days
VENDOR-Xerox_Corporation,AGENCY-NASA_—_Procurement_Divisi,vendor_to_agency,0.931,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2028-04-15,WATCH — 90+ Days
VENDOR-ServiceMaster_Clean,AGENCY-City_of_Vancouver_—_Procu,vendor_to_agency,0.886,High,High,Direct — Contract Displacement,"$25,000,000+",2028-05-15,WATCH — 90+ Days
VENDOR-Securitas_Security_Servic,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.763,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-08-12,MEDIUM — 60-Day Pipeline
VENDOR-ServiceMaster_Clean,AGENCY-Department_of_Energy_DOE,vendor_to_agency,0.866,High,High,Direct — Contract Displacement,"$25,000,000+",2026-11-02,MEDIUM — 60-Day Pipeline
VENDOR-G4S_Secure_Solutions,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.841,High,High,Direct — Contract Displacement,"$25,000–$75,000",2026-10-15,CRITICAL — Bid Now
VENDOR-SAIC_Science_Application,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.876,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2028-01-07,CRITICAL — Bid Now
VENDOR-AECOM_Technology_Corp.,AGENCY-Province_of_Ontario_—_Ont,vendor_to_agency,0.677,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-01-29,WATCH — 90+ Days
VENDOR-Xerox_Corporation,AGENCY-Social_Security_Administr,vendor_to_agency,0.823,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-06-24,CRITICAL — Bid Now
VENDOR-Robert_Half_International,AGENCY-California_Department_of_,vendor_to_agency,0.885,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-05-03,HIGH — Prepare in 30 Days
VENDOR-Pitney_Bowes_Inc.,AGENCY-California_Department_of_,vendor_to_agency,0.674,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-03-26,HIGH — Prepare in 30 Days
VENDOR-Clean_Harbors_Inc.,AGENCY-Contra_Costa_County_—_Pur,vendor_to_agency,0.739,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-10-02,CRITICAL — Bid Now
VENDOR-Iron_Mountain_Inc.,AGENCY-Highways_England_Nationa,vendor_to_agency,0.738,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-02-07,MEDIUM — 60-Day Pipeline
VENDOR-Iron_Mountain_Inc.,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.651,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-11-22,MEDIUM — 60-Day Pipeline
VENDOR-Local_Independent_Vendor,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.86,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-08-24,MEDIUM — 60-Day Pipeline
VENDOR-SAIC_Science_Application,AGENCY-Contra_Costa_County_—_Pur,vendor_to_agency,0.746,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-05-19,HIGH — Prepare in 30 Days
VENDOR-Waste_Management_Inc.,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.908,High,High,Direct — Contract Displacement,"$25,000,000+",2027-10-25,HIGH — Prepare in 30 Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-Department_of_Energy_DOE,vendor_to_agency,0.647,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-10-07,CRITICAL — Bid Now
VENDOR-Securitas_Security_Servic,AGENCY-Victorian_Government_—_Te,vendor_to_agency,0.778,High,High,Direct — Contract Displacement,"$25,000,000+",2026-11-26,HIGH — Prepare in 30 Days
VENDOR-Cintas_Corporation,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.738,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-10-26,CRITICAL — Bid Now
VENDOR-Parsons_Corporation,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.792,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-09-20,HIGH — Prepare in 30 Days
VENDOR-Robert_Half_International,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.913,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-03-02,MEDIUM — 60-Day Pipeline
VENDOR-Manpower_Group,AGENCY-Denver_Public_Schools_—_P,vendor_to_agency,0.743,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-03-03,MEDIUM — 60-Day Pipeline
VENDOR-Leidos_Holdings_Inc.,AGENCY-Contra_Costa_County_—_Pur,vendor_to_agency,0.788,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-02-17,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.682,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-05-13,CRITICAL — Bid Now
VENDOR-ServiceMaster_Clean,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.823,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-10-25,WATCH — 90+ Days
VENDOR-SAIC_Science_Application,AGENCY-Transport_for_London_TfL,vendor_to_agency,0.654,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-05-08,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.808,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-10-03,CRITICAL — Bid Now
VENDOR-G4S_Secure_Solutions,AGENCY-Province_of_British_Colum,vendor_to_agency,0.922,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2026-09-23,MEDIUM — 60-Day Pipeline
VENDOR-ServiceMaster_Clean,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.85,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-04-24,MEDIUM — 60-Day Pipeline
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.741,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-04-28,WATCH — 90+ Days
VENDOR-Booz_Allen_Hamilton,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.889,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-02-13,WATCH — 90+ Days
VENDOR-Fluor_Corporation,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.672,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-07-01,CRITICAL — Bid Now
VENDOR-Recall_Holdings,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.904,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-05-12,HIGH — Prepare in 30 Days
VENDOR-Recall_Holdings,AGENCY-Department_of_Transportat,vendor_to_agency,0.848,High,High,Direct — Contract Displacement,"$300,000–$500,000",2028-04-08,WATCH — 90+ Days
VENDOR-Stericycle_Inc.,AGENCY-Crown_Commercial_Service_,vendor_to_agency,0.689,High,High,Direct — Contract Displacement,"$25,000,000+",2027-07-26,MEDIUM — 60-Day Pipeline
VENDOR-Pitney_Bowes_Inc.,AGENCY-Department_of_Energy_DOE,vendor_to_agency,0.615,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-02-06,HIGH — Prepare in 30 Days
VENDOR-Aramark_Corporation,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.867,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-04-04,WATCH — 90+ Days
VENDOR-Allied_Universal_Security,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.778,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-06-29,HIGH — Prepare in 30 Days
VENDOR-Xerox_Corporation,AGENCY-Toronto_Transit_Commissio,vendor_to_agency,0.648,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-03-22,MEDIUM — 60-Day Pipeline
VENDOR-Parsons_Corporation,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.637,High,High,Direct — Contract Displacement,"$150,000–$300,000",2028-02-20,HIGH — Prepare in 30 Days
VENDOR-Recall_Holdings,AGENCY-Social_Security_Administr,vendor_to_agency,0.653,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-02-16,CRITICAL — Bid Now
VENDOR-Coverall_Holding_Company,AGENCY-California_Department_of_,vendor_to_agency,0.667,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-10-26,HIGH — Prepare in 30 Days
VENDOR-Leidos_Holdings_Inc.,AGENCY-California_Department_of_,vendor_to_agency,0.756,High,High,Direct — Contract Displacement,"$25,000,000+",2028-03-27,WATCH — 90+ Days
VENDOR-Clean_Harbors_Inc.,AGENCY-NASA_—_Procurement_Divisi,vendor_to_agency,0.842,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-08-12,CRITICAL — Bid Now
VENDOR-Adecco_Group,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.906,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-09-21,CRITICAL — Bid Now
VENDOR-Manpower_Group,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.836,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-11-04,HIGH — Prepare in 30 Days
VENDOR-ABM_Industries_Inc.,AGENCY-General_Services_Administ,vendor_to_agency,0.759,High,High,Direct — Contract Displacement,"$25,000,000+",2026-12-06,CRITICAL — Bid Now
VENDOR-Booz_Allen_Hamilton,AGENCY-Denver_Public_Schools_—_P,vendor_to_agency,0.798,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2026-09-16,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-City_of_Sydney_—_Procurem,vendor_to_agency,0.901,High,High,Direct — Contract Displacement,"$150,000–$300,000",2028-02-22,HIGH — Prepare in 30 Days
VENDOR-Local_Independent_Vendor,AGENCY-AusTender_—_Australian_Go,vendor_to_agency,0.892,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-02-11,MEDIUM — 60-Day Pipeline
VENDOR-CACI_International,AGENCY-Los_Angeles_Unified_Schoo,vendor_to_agency,0.611,High,High,Direct — Contract Displacement,"$25,000–$75,000",2026-10-06,WATCH — 90+ Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.854,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-04-22,CRITICAL — Bid Now
VENDOR-Stericycle_Inc.,AGENCY-Social_Security_Administr,vendor_to_agency,0.747,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-06-28,HIGH — Prepare in 30 Days
VENDOR-Manpower_Group,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.839,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-06-09,WATCH — 90+ Days
VENDOR-Unknown/No_Incumbent,AGENCY-Port_of_Oakland,vendor_to_agency,0.602,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-10-13,CRITICAL — Bid Now
